样本编码,客群分层,机构名称,建议状态,优先级,目标角色,访谈配额占用,问卷配额占用,触达责任人,邀约状态,计划访谈日期,实际完成,备注
A-待定-01,A-期货公司,永安期货,在约/潜客,P0,投研负责人/自营,是,是,,,待邀约,,总部优先
A-待定-02,A-期货公司,中信期货,在约/潜客,P0,投研/数据采购,是,是,,,待邀约,,
A-待定-03,A-期货公司,中粮期货,在约/潜客,P0,农产品研究,是,是,,,待邀约,,
A-待定-04,A-期货公司,南华期货,在约/潜客,P0,研究所,是,是,,,待邀约,,
A-待定-05,A-期货公司,东证期货,在约/潜客,P0,能化研究,是,是,,,待邀约,,
A-待定-06,A-期货公司,银河期货,潜客/在约,P0,投研,是,是,,,待邀约,,
A-待定-07,A-期货公司,海通期货,潜客,P1,投研,是,是,,,待邀约,,
A-待定-08,A-期货公司,国泰君安期货,潜客,P1,机构业务/投研,是,是,,,待邀约,,
A-待定-09,A-期货公司,华泰期货,潜客,P1,量化/机构,是,是,,,待邀约,,
A-待定-10,A-期货公司,广发期货,在约/潜客,P1,投研,是,是,,,待邀约,,
A-待定-11,A-期货公司,浙商期货,在约/潜客,P1,能化研究,是,是,,,待邀约,,
A-待定-12,A-期货公司,光大期货,潜客,P1,投研,是,是,,,待邀约,,
A-待定-13,A-期货公司,五矿期货,在约/潜客,P1,黑色有色研究,是,是,,,待邀约,,
A-待定-14,A-期货公司,建信期货,潜客,P1,风控/投研,是,是,,,待邀约,,
A-待定-15,A-期货公司,新湖期货,在约/流失,P2,投研,是,是,,,待邀约,,流失对比优先
A-待定-16,A-期货公司,方正中期期货,潜客,P2,投研,是,是,,,待邀约,,访谈满额后改问卷
B-待定-01,B-私募量化,幻方量化,潜客,P0,数据工程/量化,是,是,,,待邀约,,
B-待定-02,B-私募量化,九坤投资,潜客,P0,量化研究,是,是,,,待邀约,,
B-待定-03,B-私募量化,明汯投资,潜客,P0,量化/数据,是,是,,,待邀约,,
B-待定-04,B-私募量化,灵均投资,潜客,P0,量化,是,是,,,待邀约,,
B-待定-05,B-私募量化,衍复投资,潜客,P0,因子研究,是,是,,,待邀约,,
B-待定-06,B-私募量化,鸣石投资,在约/潜客,P0,CTA,是,是,,,待邀约,,
B-待定-07,B-私募量化,黑翼资产,在约/潜客,P1,CTA,是,是,,,待邀约,,
B-待定-08,B-私募量化,量派投资,潜客,P1,CTA/量化,是,是,,,待邀约,,
B-待定-09,B-私募量化,佳期投资,潜客,P1,CTA,是,是,,,待邀约,,
B-待定-10,B-私募量化,千象资产,潜客,P1,CTA,是,是,,,待邀约,,
B-待定-11,B-私募量化,宽德投资,潜客,P1,量化工程,是,是,,,待邀约,,
B-待定-12,B-私募量化,进化论资产,潜客,P1,研究/量化,是,是,,,待邀约,,
C-待定-01,C-资管证券,中信证券研究所,潜客,P0,大宗/期货研究,是,是,,,待邀约,,
C-待定-02,C-资管证券,中金公司研究部,潜客,P0,商品研究,是,是,,,待邀约,,
C-待定-03,C-资管证券,华泰证券研究所,潜客,P0,商品研究,是,是,,,待邀约,,
C-待定-04,C-资管证券,国泰君安研究所,潜客,P0,商品研究,是,是,,,待邀约,,
C-待定-05,C-资管证券,海通证券研究所,潜客,P1,商品研究,是,是,,,待邀约,,
C-待定-06,C-资管证券,广发证券发展研究中心,潜客,P1,商品研究,是,是,,,待邀约,,
C-待定-07,C-资管证券,招商证券研究所,潜客,P1,商品研究,是,是,,,待邀约,,
C-待定-08,C-资管证券,平安资管,潜客,P2,商品相关岗,是,是,,,待邀约,,保险资管稀缺样本
配额说明-访谈,A16/B12/C8,,,,在约15+流失8+潜客13,,,,,
配额说明-问卷,A36/B28/C16,,,,有效完成下限60,,,,,
