公司名字	一级分类	二级分类	三级分类
MPG Operations LLC	其他	其他	
MUFG Bank, Ltd	金融客户	银行	商业银行
Mitsubishi Corporation RtM International Pte.Ltd.	产业客户	贸易业	
Qube Research & Technologies Limited	金融客户	基金	私募基金
SamsungC&T Corporation	产业客户	贸易业	
TCL中环新能源科技股份有限公司	产业客户	制造业	
万华化学集团股份有限公司	产业客户	制造业	
三棵树涂料股份有限公司	产业客户	制造业	
三维控股集团股份有限公司	产业客户	其他	
上海东方希望畜牧有限公司	产业客户	农林牧渔业	
上海东证期货有限公司	金融客户	期货	期货公司
上海健顺投资管理有限公司	金融客户	基金	私募基金
上海半夏投资管理中心（有限合伙）	金融客户	基金	私募基金
上海卓然工程技术股份有限公司	产业客户	建筑业	
上海嘉和传承私募基金管理有限公司	金融客户	基金	私募基金
上海墨襄数据科技有限公司	产业客户	服务业	
上海大朴资产管理有限公司	金融客户	基金	私募基金
上海岚途化学技术有限公司	产业客户	制造业	
上海旭冕投资管理有限公司	金融客户	基金	私募基金
上海期货交易所	金融客户	商品交易所	期货交易所
上海来伊份股份有限公司	产业客户	制造业	
上海泓湖私募基金管理有限公司	金融客户	基金	私募基金
上海洛书投资管理有限公司	金融客户	基金	私募基金
上海混沌投资（集团）有限公司	金融客户	基金	私募基金
上海溯智信息科技有限公司	产业客户	服务业	
上海牛伞私募基金管理有限公司	金融客户	基金	私募基金
上海甜头菜电子商务有限公司	产业客户	贸易业	
上海申银万国证券研究所有限公司	金融客户	券商	证券研究所
上海电气集团国控环球工程有限公司	产业客户	建筑业	
上海盘京投资管理中心（有限合伙）	金融客户	基金	私募基金
上海聊塑私募基金管理中心（有限合伙）	金融客户	基金	私募基金
上海赛科石油化工有限责任公司	产业客户	制造业	
上海量魁私募基金管理有限公司	金融客户	基金	私募基金
东兴期货有限责任公司	金融客户	期货	期货公司
东北证券股份有限公司上海证券研究咨询分公司	金融客户	券商	证券公司分公司
东方证券股份有限公司	金融客户	券商	证券公司
东方财富证券股份有限公司	金融客户	券商	证券公司
东莞南玻太阳能玻璃有限公司	产业客户	制造业	
东马油脂（张家港保税区）有限公司	产业客户	制造业	
个人	个人客户	个人客户	个人客户
个人	个人客户	个人客户	个人客户
个人	个人客户	个人客户	个人客户
个人	个人客户	个人客户	个人客户
个体	个人客户	个人客户	个人客户
个体	个人客户	个人客户	个人客户
中信建投期货有限公司	金融客户	期货	期货公司
中信建投资本管理有限公司	金融客户	基金	私募基金
中信期货有限公司	金融客户	期货	期货公司
中信证券股份有限公司	金融客户	券商	证券公司
中信证券股份有限公司 北京	金融客户	券商	证券公司分公司
中信银行股份有限公司济南分行	金融客户	银行	商业银行分行
中化国际（控股）股份有限公司	产业客户	贸易业	
中化能源股份有限公司	产业客户	贸易业	
中化资本数字科技有限公司	产业客户	服务业	
中原证券股份有限公司	金融客户	券商	证券公司
中哲物产集团有限公司	产业客户	贸易业	
中国中材集团有限公司	产业客户	制造业	
中国农业发展银行	金融客户	银行	政策性银行
中国化工资产管理有限公司	金融客户	基金	私募投资集团
中国国际金融股份有限公司	金融客户	券商	证券公司
中国天辰工程有限公司	产业客户	建筑业	
中国宏观经济研究院（国家发展和改革委员会宏观经济研究院）	其他	其他	
中国寰球工程有限公司	产业客户	建筑业	
中国巨石股份有限公司	产业客户	制造业	
中国平安保险（集团）股份有限公司	金融客户	保险	保险集团
中国期货市场监控中心有限责任公司	其他	其他	
中国海洋石油集团有限公司	产业客户	采矿业	
中国石化上海石油化工股份有限公司	产业客户	制造业	
中国石化化工销售有限公司	产业客户	贸易业	
中国石化工程建设有限公司	产业客户	建筑业	
中国石化集团经济技术研究院有限公司	产业客户	服务业	
中国石化集团资本有限公司	金融客户	基金	私募投资集团
中国石油化工股份有限公司大连石油化工研究院	产业客户	服务业	
中国石油天然气股份有限公司华东化工销售分公司	产业客户	贸易业	
中国石油天然气股份有限公司吉林石化分公司	产业客户	制造业	
中国石油天然气股份有限公司大连石化分公司	产业客户	制造业	
中国石油集团经济技术研究院	产业客户	服务业	
中国神华煤制油化工有限公司	产业客户	制造业	
中国纸业投资有限公司	产业客户	制造业	
中国邮政储蓄银行股份有限公司山东省分行	金融客户	银行	商业银行分行
中国银河证券股份有限公司	金融客户	券商	证券公司
中國石油化學工業開發股份有限公司	产业客户	制造业	
中基宁波集团股份有限公司	产业客户	贸易业	
中天钢铁集团有限公司	产业客户	制造业	
中材科技风电叶片股份有限公司	产业客户	制造业	
中欧基金管理有限公司	金融客户	基金	公募基金
中泰证券股份有限公司	金融客户	券商	证券公司
中海油能源经济咨询有限公司	产业客户	服务业	
中石化上海工程有限公司	产业客户	建筑业	
中石化宁波镇海炼化有限公司	产业客户	制造业	
中石化湖南石油化工有限公司	产业客户	制造业	
中石化石油化工科学研究院有限公司	产业客户	服务业	
中石油华东设计院有限公司	产业客户	建筑业	
中科合成油工程有限公司	产业客户	建筑业	
中粮信息科技有限公司	产业客户	服务业	
中粮嘉华实业有限公司	产业客户	贸易业	
中粮期货有限公司	金融客户	期货	期货公司
中间市场部	其他	其他	
乐金化学（中国）投资有限公司	产业客户	制造业	
书赞桉诺（上海）贸易有限公司	产业客户	贸易业	
云南云天化石化有限公司	产业客户	制造业	
云南交发云翼科技有限公司	产业客户	服务业	
云南磷化集团有限公司	产业客户	采矿业	
云南磷化集团海口磷业有限公司	产业客户	采矿业	
交银施罗德基金管理有限公司	金融客户	基金	公募基金
亨氏（中国）投资有限公司	产业客户	制造业	
以化投资有限公司	其他	其他	
伊士曼（中国）投资管理有限公司	产业客户	制造业	
传化智联股份有限公司	产业客户	服务业	
佛山市伟德纺织有限公司	产业客户	制造业	
佛山市顺德区巴德富实业有限公司	产业客户	制造业	
信达证券股份有限公司	金融客户	券商	证券公司
信银金融资产投资有限公司	金融客户	基金	私募投资集团
元大期貨股份有限公司-台中分公司	金融客户	期货	期货公司分公司
元胜投资管理（上海）有限公司	金融客户	基金	私募基金
兄弟科技股份有限公司	产业客户	制造业	
光大证券股份有限公司北京分公司	金融客户	券商	证券公司分公司
兴业经济研究咨询股份有限公司	产业客户	服务业	
兴业证券股份有限公司	金融客户	券商	证券公司
内蒙古蒙牛乳业（集团）股份有限公司	产业客户	制造业	
农业农村部大数据发展中心	其他	其他	
农夫山泉股份有限公司	产业客户	制造业	
凯威尔树脂	产业客户	制造业	
凯莱英医药集团（天津）股份有限公司	产业客户	制造业	
前海开源基金管理有限公司	金融客户	基金	公募基金
北京中基亚太贸易有限公司	产业客户	贸易业	
北京云杉世界信息技术集团有限公司	产业客户	服务业	
北京凯瑞加投资管理有限公司	金融客户	基金	私募基金
北京双健塑料包装制品有限公司	产业客户	制造业	
北京橙色印象资产管理有限公司	金融客户	基金	私募基金
